time	11Hz	32Hz	54Hz	75Hz	97Hz	118Hz	140Hz	161Hz	183Hz	205Hz	226Hz	248Hz	269Hz	291Hz	312Hz	334Hz	366Hz	409Hz	452Hz	495Hz	538Hz	581Hz	624Hz	668Hz	732Hz	818Hz	904Hz	991Hz	1077Hz	1163Hz	1249Hz	1335Hz	1464Hz	1637Hz	1809Hz	1981Hz	2153Hz	2326Hz	2498Hz	2670Hz	2929Hz	3273Hz	3618Hz	3962Hz	4307Hz	4651Hz	4996Hz	5340Hz	5857Hz	6546Hz	7235Hz	7924Hz	8613Hz	9302Hz	9991Hz	10680Hz	11714Hz	13092Hz	14470Hz	15848Hz	17227Hz	18605Hz	19983Hz	21361Hz
0.127	3.617	4.558	4.564	4.300	4.010	3.874	3.910	3.291	3.099	3.087	3.551	4.223	4.232	3.963	3.580	2.965	3.298	2.691	1.282	1.875	1.850	1.381	1.459	1.814	0.721	1.075	0.535	1.538	0.968	0.385	0.482	0.667	0.471	0.424	0.303	0.430	0.119	0.105	0.257	0.117	0.095	0.120	0.068	0.050	0.177	0.155	0.085	0.147	0.074	0.069	0.059	0.069	0.299	0.058	0.054	0.266	0.051	0.111	0.031	0.008	0.001	0.000	0.000	0.000
0.139	3.725	4.936	5.266	4.847	3.798	3.642	3.697	2.877	2.735	3.164	3.647	3.988	3.518	3.203	3.333	2.773	3.565	3.036	1.582	1.734	1.670	1.009	1.555	2.031	1.018	1.243	0.675	1.446	0.854	0.674	0.456	0.518	0.416	0.332	0.288	0.381	0.116	0.124	0.225	0.146	0.086	0.108	0.047	0.042	0.155	0.111	0.076	0.129	0.084	0.077	0.066	0.072	0.263	0.056	0.053	0.217	0.046	0.103	0.031	0.010	0.002	0.000	0.000	0.000
0.150	3.641	4.918	5.300	4.894	3.846	3.649	3.647	3.034	2.879	2.651	3.003	3.644	3.592	3.327	2.891	2.474	3.551	3.113	1.861	1.362	1.635	0.790	1.367	2.023	1.151	1.348	0.673	1.216	0.983	0.572	0.445	0.616	0.496	0.316	0.318	0.276	0.171	0.190	0.221	0.109	0.097	0.122	0.065	0.039	0.131	0.104	0.069	0.144	0.119	0.080	0.061	0.078	0.224	0.063	0.059	0.189	0.053	0.106	0.034	0.011	0.003	0.000	0.000	0.000
0.162	3.612	4.356	4.710	4.694	3.891	3.430	3.683	2.892	2.367	2.687	2.892	3.277	3.010	2.690	2.558	2.145	3.242	3.007	1.400	1.588	1.822	1.068	1.371	2.133	1.287	1.024	0.511	1.182	1.139	0.353	0.392	0.574	0.335	0.370	0.203	0.461	0.173	0.164	0.209	0.092	0.118	0.139	0.064	0.045	0.132	0.088	0.057	0.143	0.106	0.094	0.062	0.073	0.194	0.056	0.063	0.155	0.060	0.112	0.035	0.011	0.003	0.000	0.000	0.000
0.174	3.672	4.314	4.650	4.637	3.926	3.572	3.673	2.895	2.396	2.757	2.956	3.259	3.108	2.568	1.764	1.746	2.520	2.571	1.825	1.453	1.630	0.922	1.270	1.716	1.056	0.703	0.487	1.369	1.302	0.363	0.385	0.525	0.271	0.287	0.140	0.505	0.166	0.104	0.148	0.105	0.097	0.144	0.048	0.032	0.110	0.118	0.069	0.121	0.106	0.103	0.067	0.075	0.181	0.056	0.061	0.141	0.060	0.107	0.029	0.009	0.002	0.000	0.000	0.000
0.185	3.645	4.692	5.033	4.751	3.839	3.535	3.669	3.014	2.694	2.759	2.903	3.244	2.851	2.218	1.963	1.525	2.716	2.773	1.952	1.625	1.471	1.014	0.980	1.422	0.974	0.912	0.680	1.334	1.279	0.363	0.444	0.316	0.336	0.298	0.229	0.514	0.165	0.108	0.223	0.104	0.072	0.107	0.047	0.030	0.101	0.125	0.082	0.148	0.096	0.100	0.055	0.074	0.164	0.071	0.075	0.129	0.058	0.087	0.025	0.009	0.001	0.000	0.000	0.000
0.197	3.746	4.225	4.485	4.575	3.892	3.491	3.633	2.947	2.695	2.942	3.143	3.416	3.106	2.420	1.838	1.632	2.915	2.950	2.218	2.098	1.401	0.914	1.327	1.630	1.280	1.252	0.708	1.196	1.164	0.359	0.343	0.364	0.300	0.296	0.295	0.603	0.231	0.138	0.281	0.100	0.072	0.083	0.049	0.040	0.112	0.108	0.085	0.183	0.085	0.134	0.063	0.073	0.154	0.075	0.124	0.131	0.065	0.074	0.027	0.013	0.000	0.000	0.000	0.000
0.208	3.789	4.394	4.699	4.608	3.827	3.418	3.615	2.917	2.742	3.036	3.229	3.501	3.071	2.269	2.160	2.263	2.538	2.622	1.704	1.859	1.228	0.897	1.175	1.658	1.444	1.449	0.757	1.033	0.968	0.411	0.307	0.506	0.231	0.194	0.409	0.673	0.182	0.123	0.269	0.098	0.081	0.113	0.057	0.048	0.097	0.088	0.077	0.113	0.084	0.151	0.062	0.066	0.123	0.049	0.099	0.142	0.067	0.057	0.027	0.014	0.000	0.000	0.000	0.000
0.220	3.696	4.473	4.863	4.680	3.804	3.325	3.469	2.886	2.864	2.969	3.174	3.502	3.129	2.243	1.676	1.419	2.682	2.762	1.687	1.474	1.461	0.712	1.177	1.420	1.426	1.281	0.684	1.359	0.659	0.423	0.231	0.423	0.216	0.182	0.410	0.688	0.161	0.123	0.273	0.111	0.102	0.107	0.083	0.050	0.088	0.099	0.054	0.092	0.086	0.160	0.066	0.061	0.111	0.039	0.066	0.130	0.065	0.048	0.026	0.014	0.000	0.000	0.000	0.000
0.232	3.413	3.408	4.075	4.509	3.781	3.232	3.329	2.724	2.744	3.083	3.320	3.416	2.764	1.760	1.830	1.752	2.903	2.776	1.413	1.326	1.389	0.652	1.551	1.743	1.288	0.978	0.510	1.244	0.671	0.433	0.382	0.400	0.328	0.141	0.296	0.677	0.157	0.104	0.282	0.114	0.101	0.091	0.072	0.053	0.056	0.077	0.092	0.104	0.063	0.130	0.050	0.066	0.082	0.040	0.054	0.108	0.055	0.032	0.023	0.010	0.000	0.000	0.000	0.000
