time	11Hz	32Hz	54Hz	75Hz	97Hz	118Hz	140Hz	161Hz	183Hz	205Hz	226Hz	248Hz	269Hz	291Hz	312Hz	334Hz	366Hz	409Hz	452Hz	495Hz	538Hz	581Hz	624Hz	668Hz	732Hz	818Hz	904Hz	991Hz	1077Hz	1163Hz	1249Hz	1335Hz	1464Hz	1637Hz	1809Hz	1981Hz	2153Hz	2326Hz	2498Hz	2670Hz	2929Hz	3273Hz	3618Hz	3962Hz	4307Hz	4651Hz	4996Hz	5340Hz	5857Hz	6546Hz	7235Hz	7924Hz	8613Hz	9302Hz	9991Hz	10680Hz	11714Hz	13092Hz	14470Hz	15848Hz	17227Hz	18605Hz	19983Hz	21361Hz
0.050	2.470	3.462	3.485	3.813	4.538	4.436	3.646	2.963	3.175	3.641	3.433	2.974	2.546	2.143	1.932	1.381	2.204	2.480	2.278	1.979	1.578	2.169	3.242	2.498	2.491	2.616	2.532	2.262	2.303	2.196	1.642	1.062	1.407	1.609	1.127	1.303	1.156	1.072	1.300	1.188	1.031	1.464	1.188	1.157	1.418	0.983	0.677	1.151	0.988	1.195	0.796	0.793	0.650	0.633	0.442	0.452	0.292	0.212	0.164	0.104	0.000	0.000	0.000	0.000
0.055	2.330	3.312	3.403	3.836	4.542	4.368	3.532	3.208	3.337	3.547	3.081	2.617	2.541	2.171	2.068	1.808	1.962	2.039	2.266	1.987	1.300	2.215	3.282	2.683	2.568	2.701	2.411	2.123	2.067	1.943	1.692	1.146	1.368	1.561	1.318	1.400	1.002	1.002	1.126	1.024	1.055	1.518	1.282	1.098	1.322	0.984	0.741	1.163	0.942	1.190	0.755	0.818	0.664	0.596	0.460	0.448	0.303	0.208	0.173	0.098	0.000	0.000	0.000	0.000
0.060	2.289	3.167	3.242	3.815	4.538	4.454	3.784	3.254	3.308	3.555	3.160	2.491	2.236	2.063	2.165	2.062	1.751	1.865	2.276	1.951	1.297	2.183	3.234	2.796	2.611	2.777	2.287	1.843	1.822	1.917	1.664	1.162	1.314	1.444	1.466	1.514	1.053	1.000	0.907	0.938	1.132	1.499	1.306	1.103	1.173	0.956	0.929	1.168	0.912	1.172	0.702	0.818	0.646	0.560	0.494	0.460	0.307	0.212	0.183	0.088	0.000	0.000	0.000	0.000
0.065	2.046	3.014	2.939	3.652	4.492	4.505	3.975	3.266	3.270	3.706	3.436	2.434	1.678	2.007	2.242	2.103	1.583	2.135	2.364	2.034	1.376	2.010	3.072	2.770	2.587	2.755	2.165	1.920	1.876	2.121	1.803	1.331	1.214	1.257	1.468	1.594	1.125	1.011	0.841	0.948	1.186	1.430	1.239	1.185	1.079	0.905	1.124	1.178	0.928	1.158	0.656	0.796	0.616	0.541	0.501	0.470	0.304	0.222	0.190	0.083	0.000	0.000	0.000	0.000
0.070	2.018	2.810	2.876	3.621	4.409	4.415	3.945	3.439	3.455	3.880	3.680	2.767	2.061	2.072	2.247	1.969	1.715	2.339	2.360	2.146	1.462	1.682	2.816	2.634	2.494	2.681	2.117	2.242	1.938	2.200	1.961	1.574	1.075	1.083	1.345	1.688	1.188	1.023	0.951	0.973	1.206	1.334	1.107	1.248	1.065	0.941	1.218	1.178	0.960	1.113	0.641	0.787	0.608	0.530	0.499	0.454	0.300	0.235	0.191	0.089	0.000	0.000	0.000	0.000
0.075	1.805	2.656	2.892	3.623	4.316	4.156	3.635	3.453	3.566	3.997	3.878	3.150	2.302	2.052	2.253	1.807	1.830	2.397	2.202	2.152	1.567	1.396	2.600	2.531	2.373	2.639	2.037	2.419	1.908	2.122	1.997	1.638	1.015	0.949	1.215	1.708	1.181	1.099	1.108	0.943	1.176	1.308	1.038	1.234	1.096	1.037	1.204	1.161	0.943	1.049	0.619	0.802	0.621	0.530	0.505	0.448	0.318	0.241	0.184	0.097	0.000	0.000	0.000	0.000
0.080	1.260	2.669	2.897	3.624	4.256	3.772	2.906	3.205	3.482	4.006	3.973	3.365	2.440	2.030	2.258	1.918	2.036	2.309	1.955	2.036	1.644	1.383	2.537	2.464	2.195	2.660	2.191	2.406	1.867	1.984	1.933	1.527	0.974	0.959	1.200	1.659	1.122	1.210	1.179	0.995	1.159	1.378	1.134	1.142	1.182	1.119	1.116	1.141	0.873	1.039	0.596	0.804	0.653	0.564	0.505	0.469	0.347	0.238	0.172	0.100	0.000	0.000	0.000	0.000
0.085	1.451	2.752	3.226	3.873	4.305	3.808	2.559	2.611	3.353	3.948	3.908	3.391	2.698	2.299	2.289	1.891	2.057	2.056	1.822	1.922	1.699	1.375	2.491	2.266	2.019	2.787	2.332	2.206	1.801	1.906	1.872	1.341	0.945	1.110	1.254	1.571	1.071	1.270	1.210	1.160	1.130	1.427	1.246	1.080	1.318	1.143	0.981	1.088	0.852	1.024	0.570	0.799	0.651	0.614	0.494	0.493	0.364	0.240	0.171	0.103	0.000	0.000	0.000	0.000
0.090	1.397	2.813	3.460	4.067	4.417	4.026	3.070	2.944	3.474	3.857	3.667	3.192	2.788	2.497	2.416	1.996	2.074	1.766	1.810	2.130	1.816	1.442	2.514	2.169	2.224	2.888	2.312	1.865	1.789	1.990	1.900	1.132	0.971	1.253	1.333	1.548	1.149	1.276	1.223	1.261	1.088	1.492	1.241	1.051	1.467	1.078	0.935	1.031	0.846	0.969	0.562	0.823	0.594	0.627	0.482	0.491	0.367	0.243	0.176	0.109	0.000	0.000	0.000	0.000
0.095	1.717	2.906	3.499	4.058	4.473	4.250	3.539	3.261	3.587	3.763	3.267	2.723	2.660	2.517	2.509	2.226	2.398	2.073	1.792	2.223	1.957	1.480	2.706	2.413	2.512	2.841	2.170	2.189	2.103	2.091	1.982	0.870	1.065	1.360	1.414	1.602	1.317	1.273	1.206	1.236	1.044	1.575	1.243	1.060	1.525	1.006	1.052	1.033	0.861	0.870	0.573	0.818	0.558	0.607	0.462	0.500	0.364	0.236	0.182	0.108	0.000	0.000	0.000	0.000
