0.000000	0.094363	B
0.453096	0.533422	B
0.588791	0.704990	S
0.881237	0.982619	B
1.299240	1.416219	B
1.742199	1.873214	S
2.642153	2.804363	B
2.952535	3.077312	S
3.092909	3.250440	B
3.518711	3.691839	B
3.961669	4.103603	B
4.112961	4.245537	S
4.412426	4.551240	B
4.699413	4.858504	B
5.303022	5.424679	S
5.604046	5.750659	B
6.054803	6.196737	B
6.486843	6.622538	S
7.397715	7.538089	B
7.687822	7.825076	S
7.835994	8.006003	B
8.277393	8.424006	B
8.436484	8.567500	S
8.579977	8.717232	S
8.854487	8.974584	S
9.150832	9.281848	B
