time	11Hz	32Hz	54Hz	75Hz	97Hz	118Hz	140Hz	161Hz	183Hz	205Hz	226Hz	248Hz	269Hz	291Hz	312Hz	334Hz	366Hz	409Hz	452Hz	495Hz	538Hz	581Hz	624Hz	668Hz	732Hz	818Hz	904Hz	991Hz	1077Hz	1163Hz	1249Hz	1335Hz	1464Hz	1637Hz	1809Hz	1981Hz	2153Hz	2326Hz	2498Hz	2670Hz	2929Hz	3273Hz	3618Hz	3962Hz	4307Hz	4651Hz	4996Hz	5340Hz	5857Hz	6546Hz	7235Hz	7924Hz	8613Hz	9302Hz	9991Hz	10680Hz	11714Hz	13092Hz	14470Hz	15848Hz	17227Hz	18605Hz	19983Hz	21361Hz
0.063	1.675	3.543	4.595	4.949	4.932	4.837	4.327	3.202	3.345	3.531	3.857	4.298	4.216	3.898	3.471	2.931	3.607	3.477	2.583	2.242	1.643	1.683	2.152	2.479	1.816	1.852	0.700	1.645	1.172	1.076	0.931	0.539	0.503	0.572	0.672	0.531	0.503	0.358	0.633	0.337	0.603	0.479	0.540	0.517	0.660	0.590	0.509	0.447	0.805	0.980	0.919	0.707	0.785	0.712	0.428	0.488	0.304	0.285	0.122	0.119	0.010	0.015	0.000	0.000
0.069	1.922	3.412	4.668	5.090	4.694	4.265	4.028	2.899	3.037	3.081	3.625	4.198	3.921	3.659	3.553	2.906	3.259	3.096	2.303	1.960	1.380	1.427	1.760	2.236	1.518	1.686	0.540	1.548	1.257	0.887	0.737	0.469	0.377	0.477	0.480	0.420	0.357	0.299	0.512	0.228	0.429	0.363	0.383	0.362	0.584	0.486	0.360	0.333	0.538	0.602	0.539	0.436	0.538	0.423	0.284	0.383	0.208	0.204	0.078	0.076	0.004	0.012	0.000	0.000
0.075	2.295	3.538	4.770	5.088	4.330	3.613	3.891	3.189	3.153	3.361	3.740	4.093	3.653	3.373	3.411	2.291	2.543	2.715	2.043	1.974	1.622	1.071	1.394	2.169	1.531	1.621	0.459	1.438	1.288	0.576	0.411	0.467	0.292	0.384	0.317	0.370	0.221	0.263	0.395	0.191	0.275	0.240	0.204	0.217	0.527	0.389	0.224	0.216	0.251	0.267	0.222	0.212	0.353	0.163	0.144	0.315	0.108	0.152	0.042	0.034	0.001	0.007	0.000	0.000
0.081	2.566	3.924	4.929	5.057	4.354	3.860	3.776	3.201	3.296	3.460	3.741	4.019	3.826	3.610	3.013	2.346	2.975	2.849	2.082	2.186	1.934	1.025	1.410	2.155	1.567	1.582	0.551	1.327	1.302	0.368	0.245	0.495	0.250	0.325	0.227	0.309	0.192	0.192	0.369	0.174	0.201	0.182	0.122	0.147	0.469	0.342	0.162	0.181	0.147	0.157	0.109	0.116	0.290	0.080	0.090	0.278	0.063	0.135	0.026	0.013	0.001	0.003	0.000	0.000
0.087	2.740	4.285	5.085	5.026	4.193	3.841	3.812	3.252	3.434	3.273	3.508	3.946	3.740	3.689	3.448	3.032	3.424	3.173	1.848	2.126	1.994	1.316	1.456	2.061	1.546	1.521	0.648	1.345	1.282	0.420	0.276	0.472	0.278	0.281	0.166	0.283	0.208	0.166	0.387	0.158	0.163	0.167	0.121	0.092	0.396	0.320	0.152	0.178	0.137	0.145	0.099	0.111	0.300	0.097	0.108	0.264	0.064	0.135	0.032	0.017	0.000	0.001	0.000	0.000
0.092	2.924	4.510	5.186	4.968	3.894	3.722	3.921	3.371	3.403	3.488	3.759	3.979	3.682	3.772	3.758	3.123	3.556	3.367	1.486	1.821	1.816	1.495	1.464	1.930	1.613	1.486	0.655	1.366	1.171	0.560	0.354	0.421	0.348	0.257	0.203	0.320	0.201	0.173	0.387	0.127	0.157	0.178	0.118	0.067	0.378	0.293	0.134	0.182	0.129	0.131	0.114	0.121	0.314	0.115	0.123	0.264	0.069	0.138	0.038	0.022	0.000	0.000	0.000	0.000
0.098	3.075	4.634	5.214	4.891	3.898	3.887	3.990	3.340	3.167	3.605	3.925	4.113	3.969	3.934	3.817	2.953	3.522	3.482	1.651	1.656	1.562	1.454	1.453	1.742	1.597	1.451	0.824	1.408	1.005	0.631	0.414	0.392	0.435	0.318	0.277	0.380	0.173	0.215	0.381	0.109	0.156	0.184	0.096	0.060	0.352	0.282	0.106	0.186	0.119	0.125	0.112	0.115	0.317	0.109	0.116	0.265	0.066	0.139	0.038	0.022	0.000	0.000	0.000	0.000
0.104	3.098	4.649	5.161	4.806	3.877	3.920	3.982	3.205	3.103	3.431	3.787	4.191	4.053	3.880	3.660	3.016	3.607	3.410	1.706	1.911	1.996	1.566	1.392	1.624	1.444	1.337	0.902	1.440	0.790	0.617	0.427	0.360	0.491	0.433	0.375	0.443	0.146	0.236	0.381	0.100	0.136	0.185	0.078	0.060	0.321	0.268	0.085	0.193	0.115	0.112	0.092	0.090	0.321	0.081	0.086	0.275	0.059	0.138	0.031	0.016	0.000	0.000	0.000	0.000
0.110	3.379	4.591	4.998	4.672	3.858	3.849	3.895	3.232	3.274	3.247	3.653	4.219	3.830	3.505	3.411	2.826	3.544	3.151	1.557	1.929	2.285	1.619	1.174	1.707	1.277	1.135	0.861	1.573	0.703	0.486	0.432	0.308	0.487	0.504	0.468	0.462	0.126	0.212	0.358	0.091	0.107	0.183	0.079	0.055	0.275	0.253	0.080	0.202	0.111	0.101	0.075	0.064	0.328	0.056	0.059	0.293	0.056	0.132	0.025	0.010	0.000	0.000	0.000	0.000
0.116	3.374	4.472	4.679	4.417	3.825	3.740	3.856	3.240	3.307	3.460	3.839	4.263	3.990	3.663	3.324	2.377	3.234	2.694	1.204	1.927	2.325	1.490	1.036	1.760	1.068	1.027	0.741	1.593	0.715	0.320	0.457	0.484	0.520	0.508	0.498	0.488	0.117	0.167	0.307	0.083	0.094	0.167	0.084	0.052	0.237	0.218	0.085	0.196	0.105	0.090	0.070	0.060	0.332	0.055	0.052	0.304	0.056	0.124	0.025	0.008	0.000	0.000	0.000	0.000
0.121	3.626	4.418	4.218	3.984	3.954	3.842	3.879	3.293	3.266	3.410	3.799	4.281	4.262	3.968	3.515	2.658	2.995	2.398	1.318	1.914	2.162	1.363	1.296	1.781	0.906	0.999	0.581	1.619	0.916	0.276	0.467	0.634	0.523	0.481	0.433	0.491	0.123	0.126	0.273	0.102	0.089	0.149	0.081	0.049	0.201	0.177	0.085	0.175	0.094	0.076	0.065	0.064	0.320	0.057	0.051	0.295	0.053	0.117	0.029	0.007	0.000	0.000	0.000	0.000
0.127	3.617	4.558	4.564	4.300	4.010	3.874	3.910	3.291	3.099	3.087	3.551	4.223	4.232	3.963	3.580	2.965	3.298	2.691	1.282	1.875	1.850	1.381	1.459	1.814	0.721	1.075	0.535	1.538	0.968	0.385	0.482	0.667	0.471	0.424	0.303	0.430	0.119	0.105	0.257	0.117	0.095	0.120	0.068	0.050	0.177	0.155	0.085	0.147	0.074	0.069	0.059	0.069	0.299	0.058	0.054	0.266	0.051	0.111	0.031	0.008	0.001	0.000	0.000	0.000
0.133	3.702	4.781	5.018	4.669	3.886	3.731	3.854	2.995	2.671	3.117	3.617	4.116	3.889	3.634	3.513	2.960	3.507	2.938	1.383	1.806	1.665	1.264	1.532	1.964	0.901	1.160	0.616	1.448	0.875	0.564	0.503	0.595	0.385	0.375	0.257	0.400	0.108	0.107	0.248	0.137	0.098	0.095	0.054	0.049	0.164	0.129	0.083	0.136	0.070	0.074	0.060	0.069	0.280	0.056	0.055	0.234	0.047	0.106	0.033	0.009	0.001	0.000	0.000	0.000
0.139	3.725	4.936	5.266	4.847	3.798	3.642	3.697	2.877	2.735	3.164	3.647	3.988	3.518	3.203	3.333	2.773	3.565	3.036	1.582	1.734	1.670	1.009	1.555	2.031	1.018	1.243	0.675	1.446	0.854	0.674	0.456	0.518	0.416	0.332	0.288	0.381	0.116	0.124	0.225	0.146	0.086	0.108	0.047	0.042	0.155	0.111	0.076	0.129	0.084	0.077	0.066	0.072	0.263	0.056	0.053	0.217	0.046	0.103	0.031	0.010	0.002	0.000	0.000	0.000
0.145	3.713	4.984	5.352	4.912	3.806	3.644	3.623	2.910	2.905	2.961	3.359	3.834	3.703	3.419	3.054	2.513	3.569	3.048	1.766	1.479	1.592	0.690	1.498	2.008	1.088	1.341	0.695	1.414	0.885	0.673	0.447	0.564	0.498	0.303	0.321	0.326	0.139	0.159	0.221	0.130	0.088	0.121	0.054	0.038	0.143	0.107	0.070	0.133	0.105	0.075	0.066	0.078	0.243	0.060	0.054	0.207	0.050	0.104	0.031	0.011	0.003	0.000	0.000	0.000
0.150	3.641	4.918	5.300	4.894	3.846	3.649	3.647	3.034	2.879	2.651	3.003	3.644	3.592	3.327	2.891	2.474	3.551	3.113	1.861	1.362	1.635	0.790	1.367	2.023	1.151	1.348	0.673	1.216	0.983	0.572	0.445	0.616	0.496	0.316	0.318	0.276	0.171	0.190	0.221	0.109	0.097	0.122	0.065	0.039	0.131	0.104	0.069	0.144	0.119	0.080	0.061	0.078	0.224	0.063	0.059	0.189	0.053	0.106	0.034	0.011	0.003	0.000	0.000	0.000
0.156	3.631	4.720	5.099	4.816	3.829	3.524	3.692	3.050	2.661	2.774	3.055	3.429	3.154	2.929	2.713	2.125	3.433	3.128	1.749	1.480	1.757	1.008	1.351	2.110	1.241	1.231	0.605	1.050	0.966	0.414	0.410	0.619	0.426	0.355	0.269	0.363	0.180	0.190	0.220	0.098	0.108	0.123	0.069	0.045	0.134	0.096	0.064	0.148	0.117	0.089	0.058	0.076	0.206	0.062	0.063	0.168	0.057	0.108	0.035	0.012	0.004	0.000	0.000	0.000
0.162	3.612	4.356	4.710	4.694	3.891	3.430	3.683	2.892	2.367	2.687	2.892	3.277	3.010	2.690	2.558	2.145	3.242	3.007	1.400	1.588	1.822	1.068	1.371	2.133	1.287	1.024	0.511	1.182	1.139	0.353	0.392	0.574	0.335	0.370	0.203	0.461	0.173	0.164	0.209	0.092	0.118	0.139	0.064	0.045	0.132	0.088	0.057	0.143	0.106	0.094	0.062	0.073	0.194	0.056	0.063	0.155	0.060	0.112	0.035	0.011	0.003	0.000	0.000	0.000
0.168	3.607	3.880	4.271	4.591	3.935	3.509	3.661	2.894	2.434	2.629	2.829	3.265	3.187	2.755	2.239	1.864	2.920	2.792	1.319	1.558	1.758	1.007	1.346	2.001	1.245	0.859	0.423	1.371	1.286	0.355	0.363	0.554	0.264	0.338	0.162	0.516	0.171	0.122	0.179	0.098	0.113	0.151	0.055	0.040	0.123	0.101	0.062	0.134	0.105	0.099	0.069	0.075	0.186	0.054	0.063	0.149	0.061	0.112	0.033	0.010	0.003	0.000	0.000	0.000
0.174	3.672	4.314	4.650	4.637	3.926	3.572	3.673	2.895	2.396	2.757	2.956	3.259	3.108	2.568	1.764	1.746	2.520	2.571	1.825	1.453	1.630	0.922	1.270	1.716	1.056	0.703	0.487	1.369	1.302	0.363	0.385	0.525	0.271	0.287	0.140	0.505	0.166	0.104	0.148	0.105	0.097	0.144	0.048	0.032	0.110	0.118	0.069	0.121	0.106	0.103	0.067	0.075	0.181	0.056	0.061	0.141	0.060	0.107	0.029	0.009	0.002	0.000	0.000	0.000
0.179	3.723	4.605	4.960	4.728	3.839	3.528	3.693	2.978	2.601	2.704	2.856	3.204	2.788	2.142	1.859	1.640	2.444	2.611	2.020	1.489	1.549	1.009	1.127	1.519	0.956	0.712	0.619	1.227	1.201	0.364	0.444	0.433	0.308	0.277	0.183	0.472	0.154	0.104	0.171	0.106	0.082	0.129	0.046	0.025	0.106	0.124	0.074	0.120	0.105	0.099	0.060	0.075	0.172	0.063	0.058	0.131	0.057	0.097	0.026	0.009	0.001	0.000	0.000	0.000
0.185	3.645	4.692	5.033	4.751	3.839	3.535	3.669	3.014	2.694	2.759	2.903	3.244	2.851	2.218	1.963	1.525	2.716	2.773	1.952	1.625	1.471	1.014	0.980	1.422	0.974	0.912	0.680	1.334	1.279	0.363	0.444	0.316	0.336	0.298	0.229	0.514	0.165	0.108	0.223	0.104	0.072	0.107	0.047	0.030	0.101	0.125	0.082	0.148	0.096	0.100	0.055	0.074	0.164	0.071	0.075	0.129	0.058	0.087	0.025	0.009	0.001	0.000	0.000	0.000
0.191	3.827	4.565	4.882	4.694	3.832	3.456	3.662	2.921	2.604	2.972	3.152	3.362	3.095	2.480	1.852	1.440	2.884	2.849	1.991	1.926	1.422	0.990	1.112	1.413	1.102	1.104	0.718	1.366	1.290	0.367	0.382	0.285	0.329	0.314	0.273	0.565	0.214	0.123	0.273	0.100	0.070	0.088	0.049	0.036	0.107	0.121	0.087	0.180	0.089	0.115	0.056	0.074	0.161	0.076	0.106	0.130	0.062	0.081	0.025	0.010	0.000	0.000	0.000	0.000
0.197	3.746	4.225	4.485	4.575	3.892	3.491	3.633	2.947	2.695	2.942	3.143	3.416	3.106	2.420	1.838	1.632	2.915	2.950	2.218	2.098	1.401	0.914	1.327	1.630	1.280	1.252	0.708	1.196	1.164	0.359	0.343	0.364	0.300	0.296	0.295	0.603	0.231	0.138	0.281	0.100	0.072	0.083	0.049	0.040	0.112	0.108	0.085	0.183	0.085	0.134	0.063	0.073	0.154	0.075	0.124	0.131	0.065	0.074	0.027	0.013	0.000	0.000	0.000	0.000
